# index,date_and_time,caller_number,caller_channel,called_number,called_channel,ring_time,talk_time,status,details
23,1402/08/20 20:46:57,9708317,33:536,2142170888,36:556,1:47,3:28,answered,
24,1402/04/09 12:20:57,2142170448,35:182,9421704471,15:492,5:09,0:00,busy,
25,1402/06/10 19:24:54,4166587,27:651,921136690967,35:919,4:57,1:31,answered,
26,1402/11/01 08:41:27,421705670,9:987,921662729806,4:366,3:20,1:29,answered,
27,1402/11/02 19:01:15,2142170664,13:959,921517080531,-,1:30,0:00,No answer,no pickup
28,1402/05/19 17:58:24,2937452,26:832,421703419,38:807,5:15,0:44,answered,
29,1402/08/04 13:23:40,2142170290,30:824,9651850,12:851,4:41,0:00,No answer,no pickup
30,1402/07/11 07:31:54,2142170977,21:286,921553147379,23:916,2:21,0:00,busy,
31,1402/04/23 14:41:45,2142170580,32:558,236,6:401,1:25,5:15,answered,
32,1402/02/24 10:20:07,2142170678,35:880,7855744,13:321,5:30,2:46,answered,
33,1402/01/23 15:08:17,9941,3:155,535,9:753,3:06,0:36,answered,
34,1402/10/21 17:03:09,2142170877,10:930,3047116,20:187,1:07,4:48,answered,
35,1402/10/02 16:47:06,486,14:740,9421708496,6:260,1:11,4:04,answered,
36,1402/12/28 14:04:43,421701679,15:370,9421705034,38:777,1:27,0:00,busy,
37,1402/05/17 15:31:28,21932421024,6:712,8174,-,2:38,0:00,busy,
38,1402/07/21 20:31:05,2142170113,31:456,21590278742,21:786,0:54,0:00,Failed,network error
39,1402/01/22 20:34:29,421706674,27:155,921907154516,24:737,3:40,0:00,No answer,no pickup
40,1402/11/20 19:15:45,134,11:418,2142170577,36:517,0:14,0:29,answered,
41,1402/09/24 09:55:04,21374846773,18:891,9421709263,27:448,4:17,0:00,Failed,network error
42,1402/04/19 13:14:54,21549972787,27:144,6886753,31:822,3:24,0:00,Failed,network error
43,1402/03/14 20:41:09,3702895,5:580,421708187,17:446,4:44,3:41,answered,
44,1402/02/25 17:45:55,21686578091,7:554,531,20:129,0:20,0:18,answered,
45,1402/03/06 09:05:39,2142170662,25:734,969,32:697,1:14,0:00,busy,
46,1402/07/23 11:29:54,574,20:303,21848217594,31:209,1:24,0:00,busy,
47,1402/06/08 17:12:39,6944,17:794,21740909743,9:743,0:57,0:00,busy,
48,1402/09/12 15:32:58,1470952,18:950,421705562,31:925,2:47,2:51,answered,
49,1402/04/16 07:39:56,21812368516,36:435,21581754965,15:763,0:40,3:58,answered,
50,1402/08/12 17:47:44,5612004,35:529,9421702138,10:524,5:06,3:39,answered,
51,1402/02/22 12:34:57,505,23:162,873,13:225,3:05,0:00,No answer,no pickup
52,1402/04/11 19:09:50,4900532,39:102,283,10:233,4:16,1:07,answered,
53,1402/06/17 16:06:28,1205395,33:326,21340268117,3:844,5:33,2:29,answered,
54,1402/03/09 16:40:37,1076617,36:829,9421702159,39:643,2:29,4:38,answered,
55,1402/08/13 13:46:06,218,21:537,773,17:483,1:43,3:04,answered,
56,1402/02/19 15:13:09,21216152809,31:329,2656049,23:965,4:23,0:48,answered,
57,1402/10/22 13:04:09,2142170468,2:193,21502445502,14:485,3:29,0:00,No answer,no pickup
58,1402/11/14 14:38:28,2142170354,27:379,2022901,33:216,2:27,0:18,answered,
59,1402/12/14 09:08:24,8840369,35:820,21134324451,36:953,5:51,2:04,answered,
60,1402/12/21 13:18:07,160,26:121,9421702596,11:920,4:29,5:58,answered,
61,1402/07/28 11:47:21,2142170261,15:441,796,5:622,5:07,4:32,answered,
62,1402/11/03 09:49:40,421706523,32:575,421703432,38:559,5:59,0:00,busy,
63,1402/06/17 08:19:29,6527,29:138,421708744,-,5:55,0:39,answered,
64,1402/06/23 08:32:41,9679,12:140,21893597820,29:549,4:33,4:10,answered,
65,1402/12/28 17:58:38,2142170646,10:441,921690515186,-,2:41,5:42,answered,
66,1402/12/22 15:05:41,391,28:620,9652,24:416,1:13,0:00,busy,
67,1402/02/17 19:34:53,2142170833,34:138,2142170314,40:234,4:24,0:00,No answer,no pickup
68,1402/10/10 19:47:50,421703292,29:339,9421701653,20:928,3:57,0:00,Failed,network error
69,1402/04/26 16:08:55,421706977,17:153,7886,24:667,0:45,0:00,Failed,network error
70,1402/04/27 14:56:22,2412,2:524,8826,-,1:24,0:23,answered,
71,1402/08/23 20:08:48,421701515,31:559,2142170304,6:119,2:13,0:00,Failed,network error
72,1402/07/21 19:39:29,421709986,5:213,421705341,32:711,4:01,5:32,answered,
73,1402/09/17 19:32:35,4246,2:499,21639621851,3:750,3:23,0:00,Failed,network error
74,1402/11/06 20:49:43,2142170151,30:812,4195205,12:930,1:04,5:49,answered,
75,1402/11/07 11:22:55,143,4:986,21405486874,18:227,2:27,3:47,answered,
76,1402/12/14 08:27:38,752,12:658,9421708584,7:181,2:42,0:00,No answer,no pickup
77,1402/01/03 17:40:25,2142170579,24:625,921375705964,11:131,1:54,0:00,busy,
78,1402/01/20 09:43:28,8021,24:480,656,5:687,1:33,0:00,Failed,network error
79,1402/07/18 08:16:49,2142170754,17:820,202,40:392,5:58,3:12,answered,
80,1402/02/07 19:08:15,21317271551,32:126,5225,37:477,3:51,4:08,answered,
81,1402/06/21 08:28:29,2146,34:452,9421709669,36:755,4:11,1:27,answered,
82,1402/09/10 20:05:16,1182,13:750,3253,18:228,5:19,4:34,answered,
83,1402/08/21 15:18:41,21929922995,20:594,21110943969,26:404,3:04,0:00,busy,
84,1402/02/11 10:29:07,1276773,18:560,3555625,7:151,2:24,4:26,answered,
85,1402/05/16 07:05:25,421703595,33:568,378,14:697,2:03,0:18,answered,
86,1402/09/07 12:35:18,848,5:495,21262456506,36:386,4:43,4:07,answered,
87,1402/03/23 12:51:30,421702655,34:567,3398680,33:243,2:59,4:20,answered,
88,1402/06/11 17:07:26,421707949,38:415,9887947,2:711,3:16,0:00,No answer,no pickup
89,1402/07/23 10:26:32,4097289,40:582,921330913075,4:822,1:33,1:35,answered,
90,1402/04/08 11:35:19,2142170886,15:404,3785854,14:806,5:31,0:00,busy,
91,1402/07/27 12:49:51,2142170858,10:397,5198,-,3:41,2:47,answered,
92,1402/10/08 10:03:42,438,34:331,9421,4:202,3:21,0:00,busy,
93,1402/01/25 08:41:36,8120826,15:647,9421708345,3:279,3:56,1:59,answered,
94,1402/03/28 15:29:17,21772400499,13:928,421706478,11:848,3:41,2:45,answered,
95,1402/09/11 08:25:42,421701549,7:289,396,31:431,1:00,0:00,No answer,no pickup
96,1402/11/12 18:15:03,2142170737,8:576,6499,26:802,4:59,5:49,answered,
97,1402/12/20 12:26:44,2142170245,36:582,427,14:880,1:43,4:55,answered,
98,1402/09/15 08:43:13,21978519108,38:600,922,-,0:29,1:32,answered,
99,1402/12/07 16:04:02,890,28:452,9421705064,35:161,0:59,0:00,No answer,no pickup
100,1402/07/15 20:58:58,146,25:484,2142170365,-,5:55,0:00,Failed,network error
101,1402/04/08 14:22:09,2142170228,18:293,921923004786,8:132,5:26,4:49,answered,
102,1402/04/25 20:49:03,21431190790,9:615,167,15:935,5:36,2:36,answered,
103,1402/10/24 09:40:43,6342,28:669,744,23:758,5:24,4:20,answered,
104,1402/01/18 13:26:35,7624628,34:237,9421704342,17:308,2:41,0:00,No answer,no pickup
105,1402/01/07 10:47:07,21851830469,31:348,21239837354,14:506,1:35,0:00,Failed,network error
106,1402/12/16 19:53:20,2142170567,14:479,5458771,3:676,1:47,0:00,No answer,no pickup
107,1402/11/11 11:48:52,421701489,32:840,921523536937,32:571,1:46,2:10,answered,
108,1402/01/07 15:29:23,421709728,4:732,21901006231,40:594,5:31,0:00,busy,
109,1402/02/17 09:15:12,21188600848,40:639,1862,23:373,3:05,2:25,answered,
110,1402/08/02 17:00:44,434,11:184,421701166,28:760,2:36,0:57,answered,
111,1402/10/22 07:11:59,1339,21:116,9421705014,38:247,5:52,0:00,No answer,no pickup
112,1402/12/05 19:44:46,242,6:612,785,23:154,0:27,1:53,answered,
113,1402/11/19 17:24:05,21699965047,40:402,9421704586,5:184,2:09,3:45,answered,
114,1402/03/14 14:35:35,3655110,33:517,8541,6:462,4:05,4:38,answered,
115,1402/05/09 14:09:04,2142170704,11:545,921718398262,20:595,0:23,2:15,answered,
116,1402/06/15 12:27:52,8993712,39:239,1659,39:811,1:30,2:11,answered,
117,1402/07/12 08:59:36,647,13:706,664,12:798,4:01,0:00,No answer,no pickup
118,1402/12/14 19:24:04,8374167,29:712,2142170534,26:647,4:59,0:00,busy,
119,1402/11/22 17:25:48,7805891,22:915,421704529,1:200,2:14,4:47,answered,
120,1402/03/12 07:30:06,9993,19:525,9421706679,6:218,5:09,0:00,busy,
121,1402/08/24 18:28:20,2142170557,5:407,975,-,2:41,0:43,answered,
122,1402/04/26 13:40:11,421704828,12:755,2142170686,26:129,5:39,0:00,Failed,network error
123,1402/08/04 11:42:55,421708966,32:640,21434191825,21:711,3:39,3:37,answered,
124,1402/03/12 18:09:32,21657924991,25:528,2142170613,37:492,3:11,3:40,answered,
125,1402/06/01 14:08:12,3827,25:675,3257,32:518,5:31,0:00,busy,
126,1402/09/10 09:49:29,872,37:860,421701340,32:662,4:07,4:07,answered,
127,1402/02/15 20:07:49,2142170958,16:314,21883613407,38:805,2:55,5:39,answered,
128,1402/05/28 15:57:43,7292330,7:238,9498254,27:160,2:55,5:08,answered,
129,1402/11/26 19:05:25,3325367,33:867,2142170566,24:565,3:20,4:00,answered,
130,1402/08/26 12:57:43,2751863,4:147,921474545892,-,0:59,1:28,answered,
131,1402/06/09 08:23:42,163,11:153,2142170524,20:843,5:48,1:27,answered,
132,1402/06/27 08:55:27,2103712,9:589,970,-,5:51,0:06,answered,
133,1402/04/21 18:09:58,2142170642,27:730,921321890927,14:188,0:08,0:37,answered,
134,1402/05/25 18:01:54,7565234,20:310,421704899,33:293,5:25,0:00,busy,
135,1402/10/14 12:34:43,2142170137,12:881,921237918055,5:117,4:04,0:16,answered,
136,1402/09/18 16:09:17,421701068,6:417,9666,-,1:34,2:25,answered,
137,1402/11/24 09:07:00,2463,9:818,21416179904,-,4:33,0:00,busy,
138,1402/09/12 07:31:54,5252410,37:270,7481491,17:891,0:57,4:43,answered,
139,1402/07/24 12:17:52,2380003,5:685,21856220863,33:789,0:11,1:51,answered,
140,1402/06/07 11:36:50,1617,20:857,5518,30:477,4:31,1:46,answered,
141,1402/04/14 14:03:09,4206,18:195,21485050641,-,4:26,5:57,answered,
142,1402/01/14 17:08:15,2142170819,19:367,421709261,26:817,5:20,2:28,answered,
143,1402/08/11 13:07:34,2142170413,23:888,2142170221,20:574,2:54,0:05,answered,
144,1402/05/27 09:01:25,421705903,29:669,3135680,16:196,3:06,0:00,busy,
145,1402/11/03 16:37:16,421702003,5:122,2142170465,13:761,3:51,0:00,busy,
146,1402/07/16 07:24:43,421702510,28:276,9421701296,12:381,2:28,0:00,No answer,no pickup
147,1402/08/02 08:17:24,421701999,9:529,576,34:355,5:51,0:00,No answer,no pickup
148,1402/03/01 12:38:14,1657,2:930,9421706985,4:928,3:33,2:49,answered,
149,1402/04/19 20:51:24,4213,23:959,580,12:280,1:37,0:00,No answer,no pickup
150,1402/02/02 10:38:14,2142170690,2:639,3937842,22:728,1:51,1:21,answered,
151,1402/11/13 16:06:21,3500292,20:430,421709515,11:849,3:50,0:00,busy,
152,1402/12/01 18:36:25,8528953,37:133,2142170744,21:928,4:14,5:36,answered,
153,1402/02/24 07:03:24,21825135521,29:850,8043315,11:523,3:56,3:22,answered,
154,1402/01/10 07:20:16,7179,7:175,371,25:264,5:04,0:00,No answer,no pickup
155,1402/03/02 08:21:13,2599,13:519,9421701629,35:371,5:18,0:00,No answer,no pickup
156,1402/11/20 14:12:06,2142170410,2:311,921972050614,19:183,3:54,0:00,No answer,no pickup
157,1402/04/27 11:36:03,21567741862,10:870,7527047,7:187,5:22,4:26,answered,
158,1402/09/26 16:43:39,4806,10:223,921979374160,29:277,1:13,1:08,answered,
159,1402/05/17 14:58:55,21716329451,1:905,421707868,38:635,3:07,3:09,answered,
160,1402/08/19 16:30:02,421702191,12:382,9564,40:723,5:44,3:02,answered,
161,1402/05/10 11:53:31,630,7:989,9421705505,20:861,3:49,0:00,No answer,no pickup
162,1402/09/28 12:52:03,2142170569,33:910,421704736,20:826,4:25,0:00,busy,
163,1402/01/12 18:12:17,421709902,24:943,403,26:750,0:43,0:15,answered,
164,1402/03/27 11:47:53,2142170897,6:391,2142170898,-,4:49,1:54,answered,
165,1402/05/23 18:41:17,421704346,28:485,21172290349,30:358,1:29,0:00,No answer,no pickup
166,1402/10/10 11:43:06,2142170996,31:165,421701858,18:755,2:55,0:00,busy,
167,1402/10/13 17:20:43,2142170543,9:838,2142170930,-,2:58,0:00,No answer,no pickup
168,1402/08/22 12:32:19,760,11:960,638,36:285,2:06,0:00,busy,
169,1402/12/28 11:26:50,348,22:480,2142170613,19:574,0:30,0:55,answered,
170,1402/06/14 16:57:58,2738168,30:246,7022,12:897,0:31,0:00,Failed,network error
171,1402/11/14 13:27:30,2142170350,25:104,21843292712,-,2:00,0:00,busy,
172,1402/02/27 07:19:18,2142170930,30:845,21435421689,34:445,3:56,5:08,answered,
173,1402/03/07 18:01:37,2142170853,33:273,2142170703,3:484,5:16,4:39,answered,
174,1402/11/04 17:33:17,21110016761,40:720,8230,27:950,0:32,5:39,answered,
175,1402/09/16 10:44:59,21511739348,31:438,664,1:787,0:58,0:53,answered,
176,1402/05/09 14:03:06,8218,12:995,421702437,-,5:20,0:00,Failed,network error
177,1402/03/04 13:25:29,210,18:955,21325579415,31:919,3:41,0:00,No answer,no pickup
178,1402/03/20 13:49:22,421702202,40:129,421707979,9:594,3:07,0:00,busy,
179,1402/04/22 20:21:33,801,34:804,6089,7:543,5:46,0:00,busy,
180,1402/05/02 15:14:35,421708562,25:512,21128772175,6:570,3:51,4:28,answered,
181,1402/11/15 12:23:52,21875170166,4:936,21980199488,30:439,4:49,4:38,answered,
182,1402/05/18 15:23:44,671,7:146,421704055,32:243,5:47,0:00,No answer,no pickup
183,1402/08/15 17:37:32,7149331,9:610,921473516091,-,3:53,0:00,No answer,no pickup
184,1402/10/11 15:56:24,8829,27:723,2142170316,16:380,3:21,0:00,busy,
185,1402/11/12 17:08:45,2142170822,12:615,921948583339,21:827,0:48,0:00,busy,
186,1402/01/07 11:48:50,2142170979,11:393,921946081062,10:959,0:44,2:13,answered,
187,1402/12/10 18:42:03,1571,25:496,963,21:665,0:00,5:16,answered,
188,1402/11/03 09:11:47,421708359,33:222,447,28:385,4:16,1:10,answered,
189,1402/11/20 20:42:19,5057,32:908,2142170125,23:174,5:20,4:14,answered,
190,1402/04/25 16:33:30,421709182,36:943,921986153355,1:217,5:22,3:15,answered,
191,1402/08/16 07:18:57,4056164,13:428,1858,7:271,4:34,0:00,No answer,no pickup
192,1402/02/02 09:50:16,21233613861,36:172,2142170175,15:364,3:24,3:40,answered,
193,1402/02/10 19:43:19,750,39:188,921280919015,29:490,3:52,0:00,Failed,network error
194,1402/09/05 08:02:00,1728326,37:710,3450,36:187,2:13,5:47,answered,
195,1402/10/28 07:54:48,6368222,36:572,531,5:397,5:04,2:06,answered,
196,1402/04/11 14:28:21,421708552,40:775,249,38:256,4:36,2:51,answered,
197,1402/08/15 12:49:19,2142170720,32:664,4364525,39:183,2:54,0:00,No answer,no pickup
198,1402/10/07 07:35:16,421709341,35:652,421701809,10:474,3:14,4:46,answered,
199,1402/10/22 09:48:32,2142170378,9:556,421707580,37:679,5:55,0:00,busy,
200,1402/11/07 15:58:50,421708503,24:497,9421704145,30:147,0:41,2:06,answered,
201,1402/06/16 19:30:56,9449892,39:106,921759184638,9:550,1:14,0:32,answered,
202,1402/08/16 10:37:10,5322259,27:122,421704651,9:687,4:10,1:40,answered,
203,1402/10/19 17:01:56,1920,19:187,2142170528,39:582,3:10,0:00,Failed,network error
204,1402/06/15 16:37:04,421707929,15:487,2142170942,7:116,1:33,0:00,busy,
205,1402/09/17 19:07:05,7291,31:775,2142170899,39:652,0:57,5:41,answered,
206,1402/05/16 19:14:58,965,6:390,21963765991,35:518,2:12,0:45,answered,
207,1402/07/21 16:16:16,1981806,35:533,665,40:382,5:25,1:26,answered,
208,1402/07/24 09:54:55,9725,8:865,9421705495,11:202,1:32,0:00,No answer,no pickup
209,1402/04/12 08:38:02,689,25:510,21360127961,34:393,5:38,0:49,answered,
210,1402/04/20 09:43:02,421708703,24:344,4098,11:188,2:49,3:22,answered,
211,1402/05/08 16:12:29,7693801,26:688,421709489,-,4:06,4:04,answered,
212,1402/10/16 19:15:48,5518,22:894,9947,30:700,0:30,0:00,Failed,network error
213,1402/06/07 16:17:11,21516335658,13:610,21534165182,16:853,1:55,2:13,answered,
214,1402/11/16 16:00:48,421704395,35:143,2142170211,24:735,2:31,0:00,busy,
215,1402/07/16 15:02:32,5728,23:503,7392,12:568,0:44,4:29,answered,
216,1402/10/11 12:11:31,2142170103,28:315,921255942843,24:473,3:17,3:11,answered,
217,1402/12/05 14:51:00,3931,12:531,4866,34:646,5:20,3:19,answered,
218,1402/06/18 15:59:51,2142170990,17:452,921220347175,-,5:38,1:36,answered,
219,1402/03/28 09:40:51,9245,22:531,9771694,37:514,0:05,1:21,answered,
220,1402/03/24 10:42:16,421706544,6:315,921575987622,7:197,0:59,0:00,No answer,no pickup
221,1402/12/10 14:40:08,900,9:639,921911492164,2:135,5:22,2:55,answered,
222,1402/11/24 17:56:36,884,28:636,9421703829,35:417,2:30,4:14,answered,
223,1402/12/16 19:30:19,21845642400,1:884,2142170647,19:711,1:50,0:35,answered,
224,1402/09/25 19:58:39,2142170468,18:391,921732663416,35:928,2:26,0:00,busy,
225,1402/08/07 12:01:09,421702224,4:647,421708974,-,2:08,0:00,busy,
226,1402/08/12 14:44:50,8031207,3:438,664,-,2:49,0:00,No answer,no pickup
227,1402/02/25 18:15:24,287,29:353,2142170446,3:303,3:47,0:00,No answer,no pickup
228,1402/01/28 17:13:07,21937645208,16:748,421705743,1:271,2:37,0:25,answered,
229,1402/02/22 16:21:59,421701097,4:161,2142170613,10:818,4:50,0:08,answered,
230,1402/08/23 14:35:18,458,35:813,8306524,37:291,4:22,0:00,No answer,no pickup
231,1402/05/18 12:29:00,2142170849,33:488,2142170282,2:734,2:49,4:15,answered,
232,1402/05/11 13:41:20,2142170286,8:198,978,5:144,1:11,0:12,answered,
233,1402/01/07 17:31:59,21831096789,6:579,1539,4:469,4:47,0:00,busy,
234,1402/04/17 08:06:46,609,15:644,9014,13:638,5:15,4:40,answered,
235,1402/11/06 15:38:28,421709861,23:422,8612286,21:965,2:26,5:27,answered,
236,1402/01/10 16:01:33,6939836,9:409,6776,-,2:01,5:52,answered,
237,1402/03/09 12:56:37,2142170988,16:338,2142170207,20:194,4:25,4:58,answered,
238,1402/10/13 08:49:03,421702572,22:456,9421702940,28:526,0:55,0:00,busy,
239,1402/07/15 19:38:36,421701604,33:192,21689258320,19:905,3:09,0:00,busy,
240,1402/04/16 13:41:36,421706179,13:674,21964168622,34:352,1:04,2:49,answered,
241,1402/06/20 17:01:49,691,20:273,421707655,40:941,3:39,1:28,answered,
242,1402/02/10 14:30:01,21435211039,22:314,2142170505,14:308,4:33,0:00,busy,
243,1402/09/02 11:10:03,2142170979,19:305,2142170169,40:377,0:29,0:00,Failed,network error
244,1402/02/11 14:55:38,1164510,35:190,7368,33:568,4:59,0:00,Failed,network error
245,1402/11/09 13:56:52,1038457,2:668,921305554384,15:255,2:57,0:00,No answer,no pickup
246,1402/05/20 12:28:34,316,9:311,739,38:654,5:51,1:55,answered,
247,1402/12/04 09:20:53,421705826,10:844,2142170351,-,3:19,3:47,answered,
248,1402/06/03 18:49:30,5231220,9:614,4933,31:829,5:23,0:00,busy,
249,1402/01/09 13:14:47,421707772,13:875,2142170430,12:549,4:31,5:20,answered,
250,1402/08/15 20:56:02,466,16:631,21756999880,3:671,3:33,5:03,answered,
251,1402/01/23 15:57:09,421705764,30:949,8264,6:839,4:07,0:00,busy,
252,1402/06/23 17:58:45,421709266,11:835,8027937,6:216,5:28,5:23,answered,
253,1402/03/06 19:45:03,21968926860,27:415,2142170692,29:395,5:11,0:57,answered,
254,1402/08/15 13:28:05,421704094,39:714,21877809733,-,4:40,4:52,answered,
255,1402/01/04 13:11:10,421701220,19:725,1209945,39:686,4:11,0:00,Failed,network error
256,1402/09/03 11:30:08,601,8:811,6561,22:639,3:33,0:00,No answer,no pickup
257,1402/06/09 15:36:39,421704901,23:232,421708946,32:632,5:40,0:00,busy,
258,1402/08/21 19:07:47,829,14:918,530,27:523,0:21,2:35,answered,
259,1402/06/11 13:46:36,4034414,40:129,9850,13:438,2:59,5:30,answered,
260,1402/07/24 07:53:33,127,20:678,2142170885,21:668,4:01,1:36,answered,
261,1402/06/23 07:17:26,6512405,6:608,921929962914,24:562,2:13,0:00,busy,
262,1402/08/24 20:33:19,5215,21:246,21417807823,7:941,4:43,1:13,answered,
263,1402/11/07 12:12:12,1768104,19:383,21257018409,29:787,0:17,0:00,No answer,no pickup
264,1402/03/23 19:18:36,421703410,16:275,421704858,-,4:28,0:08,answered,
265,1402/11/26 15:05:59,21801601662,30:681,9421706453,30:199,3:19,0:00,busy,
266,1402/02/12 14:29:54,8733294,11:389,7255770,39:688,1:32,0:25,answered,
267,1402/12/19 13:50:27,2581487,37:906,921739382761,16:277,5:42,0:47,answered,
268,1402/02/22 20:38:49,8199758,25:435,421708246,4:192,1:52,1:56,answered,
269,1402/11/11 11:36:50,1227,20:545,7997,23:191,4:00,4:32,answered,
270,1402/04/14 18:37:25,340,21:828,9008514,25:545,4:13,0:00,No answer,no pickup
271,1402/03/03 09:41:51,3723865,27:980,921342201027,39:535,4:11,0:00,busy,
272,1402/01/19 14:54:46,968,16:829,9421707532,27:659,4:23,0:02,answered,
273,1402/02/17 16:05:15,8519,31:745,9421702284,5:800,5:34,4:19,answered,
274,1402/07/12 19:18:18,1580,11:136,9421708879,39:867,2:46,0:00,busy,
275,1402/08/03 09:32:04,5079,18:358,2142170149,18:381,2:00,5:07,answered,
276,1402/02/05 16:59:52,3927,10:957,3437280,27:888,3:15,5:28,answered,
277,1402/07/16 11:09:33,3395041,28:112,21376747836,29:491,5:20,0:00,busy,
278,1402/12/08 18:43:37,1185,13:632,921554414967,12:420,4:00,0:00,No answer,no pickup
279,1402/01/20 08:03:38,1106181,14:713,9421706344,8:188,4:08,3:42,answered,
280,1402/02/09 19:03:24,3124471,25:440,9421705654,17:932,2:11,3:04,answered,
281,1402/07/07 16:41:06,496,29:832,2142170812,3:174,0:36,5:16,answered,
282,1402/08/16 13:25:54,172,5:653,21164256908,25:805,3:07,0:00,busy,
283,1402/01/13 17:12:19,9554,25:209,921115851743,23:598,0:56,5:28,answered,
284,1402/08/01 07:21:03,4203093,22:906,9421707184,26:221,1:51,5:42,answered,
285,1402/01/16 16:02:15,8829,9:114,202,4:414,0:29,4:10,answered,
286,1402/12/22 13:20:07,2117,37:658,236,14:882,0:37,1:21,answered,
287,1402/11/20 13:49:10,21242625827,2:598,121,-,0:45,0:00,No answer,no pickup
288,1402/10/06 18:31:39,5672324,6:742,9421707329,20:456,3:00,0:00,busy,
289,1402/11/22 10:17:03,4318,13:215,421706883,31:609,1:10,5:59,answered,
290,1402/04/24 14:37:37,21154364597,21:529,21208220781,21:335,0:20,1:06,answered,
291,1402/03/07 16:29:11,421707363,25:482,421708970,13:747,2:17,0:00,No answer,no pickup
292,1402/10/06 19:50:40,421706209,40:274,21521776253,36:975,1:05,0:00,No answer,no pickup
293,1402/04/08 12:27:37,973,15:705,9421708406,37:105,3:02,0:00,busy,
294,1402/07/07 09:22:18,21880686717,16:763,9421704180,2:591,5:19,0:00,busy,
295,1402/06/21 14:45:40,421708990,1:981,9421708262,25:807,2:33,0:00,No answer,no pickup
296,1402/01/12 12:11:41,21564989319,36:821,1850165,-,2:15,4:07,answered,
297,1402/08/23 15:43:52,8933554,35:399,921501557788,24:919,5:44,0:00,No answer,no pickup
298,1402/04/17 17:01:18,21471162411,27:798,2142170512,9:585,2:26,3:47,answered,
299,1402/08/15 11:36:08,1431038,20:275,7955798,15:595,2:18,0:00,No answer,no pickup
300,1402/01/11 16:08:28,21354729284,17:478,2142170322,36:824,0:42,2:22,answered,
301,1402/08/11 09:00:47,421706782,35:619,2067,19:585,2:48,0:00,No answer,no pickup
302,1402/01/13 16:53:14,3975,29:465,421708028,-,5:12,4:33,answered,
303,1402/10/20 15:03:58,421705301,24:507,9421702863,28:478,3:23,0:18,answered,
304,1402/12/14 18:57:26,2142170647,9:955,421704767,6:247,1:19,3:55,answered,
305,1402/08/23 16:48:58,6196,9:304,421701646,25:396,4:31,0:52,answered,
306,1402/11/27 17:30:07,2142170578,19:527,9421704002,16:129,0:48,2:31,answered,
307,1402/05/12 13:40:58,21697964715,23:149,21529025725,34:754,0:32,1:49,answered,
308,1402/03/01 09:33:18,3192855,24:897,5518,22:266,0:13,1:32,answered,
309,1402/01/16 12:19:44,421704898,24:242,421707711,39:635,2:11,0:00,No answer,no pickup
310,1402/02/03 07:49:30,5013223,28:143,3321,3:912,5:32,4:03,answered,
311,1402/04/19 10:11:42,240,23:129,421705011,-,2:22,0:00,Failed,network error
312,1402/04/10 09:57:48,421709938,35:104,421702908,7:319,4:54,5:30,answered,
313,1402/04/14 08:48:20,2142170371,8:577,2142170666,9:607,2:45,2:35,answered,
314,1402/07/07 20:04:57,1157164,31:795,9421705738,1:790,3:43,0:25,answered,
315,1402/12/06 08:23:12,911,22:305,2142170769,26:225,1:53,0:00,Failed,network error
316,1402/08/17 11:09:49,849,30:210,7579,32:609,1:40,0:00,Failed,network error
317,1402/03/10 16:39:06,421701101,5:776,9421701269,32:911,3:12,0:00,busy,
318,1402/01/14 08:24:28,2142170878,21:973,9588,30:136,0:11,4:42,answered,
